vmax_kt,min_pressure_mb,lat,lon,month,month_sin,month_cos,abs_lat,pressure_deficit,dvmax_6h,dpres_6h,target
40.0,998.0,27.8,-84.5,8.0,-0.8660254037844384,-0.5000000000000004,27.8,12.0,0.0,0.0,0.0
45.0,998.0,28.0,-84.4,8.0,-0.8660254037844384,-0.5000000000000004,28.0,12.0,10.0,0.0,0.0
50.0,998.0,27.8,-84.8,8.0,-0.8660254037844384,-0.5000000000000004,27.8,12.0,10.0,0.0,0.0
50.0,998.0,28.0,-84.7,8.0,-0.8660254037844384,-0.5000000000000004,28.0,12.0,0.0,0.0,0.0
50.0,998.0,27.7,-85.3,8.0,-0.8660254037844384,-0.5000000000000004,27.7,12.0,0.0,0.0,0.0
55.0,998.0,27.9,-85.1,8.0,-0.8660254037844384,-0.5000000000000004,27.9,12.0,10.0,0.0,0.0
60.0,998.0,27.6,-85.9,8.0,-0.8660254037844384,-0.5000000000000004,27.6,12.0,10.0,0.0,0.0
60.0,998.0,27.8,-85.5,8.0,-0.8660254037844384,-0.5000000000000004,27.8,12.0,0.0,0.0,0.0
60.0,998.0,27.5,-86.3,8.0,-0.8660254037844384,-0.5000000000000004,27.5,12.0,0.0,0.0,0.0
65.0,998.0,27.7,-85.9,8.0,-0.8660254037844384,-0.5000000000000004,27.7,12.0,10.0,0.0,0.0
70.0,998.0,27.5,-86.8,8.0,-0.8660254037844384,-0.5000000000000004,27.5,12.0,10.0,0.0,0.0
70.0,998.0,27.6,-86.4,8.0,-0.8660254037844384,-0.5000000000000004,27.6,12.0,0.0,0.0,0.0
70.0,998.0,27.4,-87.5,8.0,-0.8660254037844384,-0.5000000000000004,27.4,12.0,0.0,0.0,0.0
75.0,998.0,27.5,-87.0,8.0,-0.8660254037844384,-0.5000000000000004,27.5,12.0,10.0,0.0,0.0
80.0,998.0,27.4,-88.0,8.0,-0.8660254037844384,-0.5000000000000004,27.4,12.0,10.0,0.0,0.0
80.0,998.0,27.4,-87.5,8.0,-0.8660254037844384,-0.5000000000000004,27.4,12.0,0.0,0.0,0.0
80.0,998.0,27.4,-88.5,8.0,-0.8660254037844384,-0.5000000000000004,27.4,12.0,0.0,0.0,0.0
85.0,998.0,27.5,-88.0,8.0,-0.8660254037844384,-0.5000000000000004,27.5,12.0,10.0,0.0,0.0
90.0,998.0,27.5,-89.0,8.0,-0.8660254037844384,-0.5000000000000004,27.5,12.0,10.0,0.0,0.0
90.0,998.0,27.6,-88.5,8.0,-0.8660254037844384,-0.5000000000000004,27.6,12.0,0.0,0.0,0.0
90.0,998.0,27.5,-89.5,8.0,-0.8660254037844384,-0.5000000000000004,27.5,12.0,0.0,0.0,0.0
95.0,998.0,27.7,-89.0,8.0,-0.8660254037844384,-0.5000000000000004,27.7,12.0,10.0,0.0,0.0
100.0,998.0,27.6,-89.9,8.0,-0.8660254037844384,-0.5000000000000004,27.6,12.0,10.0,0.0,0.0
100.0,998.0,27.9,-89.5,8.0,-0.8660254037844384,-0.5000000000000004,27.9,12.0,0.0,0.0,0.0
100.0,998.0,27.9,-90.1,8.0,-0.8660254037844384,-0.5000000000000004,27.9,12.0,0.0,0.0,0.0
105.0,998.0,28.2,-89.8,8.0,-0.8660254037844384,-0.5000000000000004,28.2,12.0,10.0,0.0,0.0
110.0,998.0,28.4,-90.3,8.0,-0.8660254037844384,-0.5000000000000004,28.4,12.0,10.0,0.0,0.0
110.0,998.0,28.8,-89.9,8.0,-0.8660254037844384,-0.5000000000000004,28.8,12.0,0.0,0.0,0.0
110.0,998.0,29.0,-90.1,8.0,-0.8660254037844384,-0.5000000000000004,29.0,12.0,0.0,0.0,0.0
110.0,998.0,29.2,-90.0,8.0,-0.8660254037844384,-0.5000000000000004,29.2,12.0,0.0,0.0,0.0
108.0,998.0,29.4,-89.7,8.0,-0.8660254037844384,-0.5000000000000004,29.4,12.0,-12.0,0.0,0.0
100.0,998.0,29.7,-89.8,8.0,-0.8660254037844384,-0.5000000000000004,29.7,12.0,-16.0,0.0,0.0
100.0,998.0,30.2,-89.2,8.0,-0.8660254037844384,-0.5000000000000004,30.2,12.0,0.0,0.0,0.0
100.0,998.0,30.5,-88.9,8.0,-0.8660254037844384,-0.5000000000000004,30.5,12.0,0.0,0.0,0.0
85.0,998.0,30.8,-88.3,8.0,-0.8660254037844384,-0.5000000000000004,30.8,12.0,-30.0,0.0,0.0
70.0,998.0,31.0,-88.0,8.0,-0.8660254037844384,-0.5000000000000004,31.0,12.0,-30.0,0.0,0.0
60.0,998.0,31.2,-87.5,8.0,-0.8660254037844384,-0.5000000000000004,31.2,12.0,-20.0,0.0,0.0
50.0,998.0,31.3,-86.8,8.0,-0.8660254037844384,-0.5000000000000004,31.3,12.0,-20.0,0.0,0.0
45.0,998.0,31.3,-86.8,8.0,-0.8660254037844384,-0.5000000000000004,31.3,12.0,-10.0,0.0,0.0
40.0,998.0,31.4,-85.6,8.0,-0.8660254037844384,-0.5000000000000004,31.4,12.0,-10.0,0.0,0.0
40.0,998.0,31.3,-86.1,8.0,-0.8660254037844384,-0.5000000000000004,31.3,12.0,0.0,0.0,0.0
40.0,998.0,31.5,-84.6,8.0,-0.8660254037844384,-0.5000000000000004,31.5,12.0,0.0,0.0,0.0
40.0,998.0,31.4,-84.8,8.0,-0.8660254037844384,-0.5000000000000004,31.4,12.0,0.0,0.0,0.0
40.0,998.0,31.7,-83.6,8.0,-0.8660254037844384,-0.5000000000000004,31.7,12.0,0.0,0.0,0.0
40.0,998.0,31.5,-83.2,8.0,-0.8660254037844384,-0.5000000000000004,31.5,12.0,0.0,0.0,0.0
40.0,998.0,31.8,-82.6,8.0,-0.8660254037844384,-0.5000000000000004,31.8,12.0,0.0,0.0,0.0
40.0,998.0,31.8,-82.0,8.0,-0.8660254037844384,-0.5000000000000004,31.8,12.0,0.0,0.0,0.0
40.0,998.0,31.9,-81.6,8.0,-0.8660254037844384,-0.5000000000000004,31.9,12.0,0.0,0.0,0.0
40.0,998.0,32.0,-80.8,8.0,-0.8660254037844384,-0.5000000000000004,32.0,12.0,0.0,0.0,0.0
40.0,998.0,32.0,-80.6,8.0,-0.8660254037844384,-0.5000000000000004,32.0,12.0,0.0,0.0,0.0
45.0,998.0,32.1,-79.6,8.0,-0.8660254037844384,-0.5000000000000004,32.1,12.0,10.0,0.0,0.0
50.0,998.0,32.0,-79.6,8.0,-0.8660254037844384,-0.5000000000000004,32.0,12.0,10.0,0.0,0.0
50.0,998.0,32.1,-78.2,8.0,-0.8660254037844384,-0.5000000000000004,32.1,12.0,0.0,0.0,0.0
50.0,998.0,32.0,-78.6,8.0,-0.8660254037844384,-0.5000000000000004,32.0,12.0,0.0,0.0,0.0
50.0,998.0,32.3,-77.4,8.0,-0.8660254037844384,-0.5000000000000004,32.3,12.0,0.0,0.0,0.0
50.0,998.0,32.0,-77.6,8.0,-0.8660254037844384,-0.5000000000000004,32.0,12.0,0.0,0.0,0.0
50.0,998.0,32.1,-77.1,8.0,-0.8660254037844384,-0.5000000000000004,32.1,12.0,0.0,0.0,0.0
50.0,998.0,32.3,-76.6,8.0,-0.8660254037844384,-0.5000000000000004,32.3,12.0,0.0,0.0,0.0
50.0,998.0,32.4,-76.1,8.0,-0.8660254037844384,-0.5000000000000004,32.4,12.0,0.0,0.0,0.0
50.0,998.0,15.1,-58.5,7.0,-0.4999999999999998,-0.8660254037844388,15.1,12.0,0.0,0.0,0.0
50.0,998.0,15.8,-60.0,7.0,-0.4999999999999998,-0.8660254037844388,15.8,12.0,0.0,0.0,0.0
50.0,998.0,15.5,-59.3,7.0,-0.4999999999999998,-0.8660254037844388,15.5,12.0,0.0,0.0,0.0
50.0,998.0,15.9,-60.3,7.0,-0.4999999999999998,-0.8660254037844388,15.9,12.0,0.0,0.0,0.0
50.0,998.0,15.8,-60.1,7.0,-0.4999999999999998,-0.8660254037844388,15.8,12.0,0.0,0.0,0.0
50.0,998.0,16.2,-61.0,7.0,-0.4999999999999998,-0.8660254037844388,16.2,12.0,0.0,0.0,0.0
50.0,998.0,16.2,-60.9,7.0,-0.4999999999999998,-0.8660254037844388,16.2,12.0,0.0,0.0,0.0
50.0,998.0,16.5,-61.7,7.0,-0.4999999999999998,-0.8660254037844388,16.5,12.0,0.0,0.0,0.0
50.0,998.0,16.7,-61.6,7.0,-0.4999999999999998,-0.8660254037844388,16.7,12.0,0.0,0.0,0.0
50.0,998.0,17.0,-62.4,7.0,-0.4999999999999998,-0.8660254037844388,17.0,12.0,0.0,0.0,0.0
50.0,998.0,17.4,-62.4,7.0,-0.4999999999999998,-0.8660254037844388,17.4,12.0,0.0,0.0,0.0
50.0,998.0,17.6,-63.2,7.0,-0.4999999999999998,-0.8660254037844388,17.6,12.0,0.0,0.0,0.0
50.0,998.0,18.0,-63.1,7.0,-0.4999999999999998,-0.8660254037844388,18.0,12.0,0.0,0.0,0.0
50.0,998.0,18.1,-63.9,7.0,-0.4999999999999998,-0.8660254037844388,18.1,12.0,0.0,0.0,0.0
50.0,998.0,18.6,-63.8,7.0,-0.4999999999999998,-0.8660254037844388,18.6,12.0,0.0,0.0,0.0
50.0,998.0,18.9,-64.7,7.0,-0.4999999999999998,-0.8660254037844388,18.9,12.0,0.0,0.0,0.0
50.0,998.0,19.4,-64.6,7.0,-0.4999999999999998,-0.8660254037844388,19.4,12.0,0.0,0.0,0.0
50.0,998.0,19.7,-65.5,7.0,-0.4999999999999998,-0.8660254037844388,19.7,12.0,0.0,0.0,0.0
50.0,998.0,20.2,-65.5,7.0,-0.4999999999999998,-0.8660254037844388,20.2,12.0,0.0,0.0,0.0
50.0,998.0,20.5,-66.3,7.0,-0.4999999999999998,-0.8660254037844388,20.5,12.0,0.0,0.0,0.0
50.0,998.0,21.2,-66.1,7.0,-0.4999999999999998,-0.8660254037844388,21.2,12.0,0.0,0.0,0.0
50.0,998.0,21.4,-66.9,7.0,-0.4999999999999998,-0.8660254037844388,21.4,12.0,0.0,0.0,0.0
